von \ nach;S1;S2;S3;S4;S5;S6;S7;S8;M1;M2;M3;M4;M5;M6;M7;M8;W1;W2;W3;W4;W5;W6;W7;W8;N1;N2;N3;N4;N5;N6;N7;N8
S1;0.0;130.4;160.0;156.3;323.4;251.6;269.7;111.6;466.7;448.4;454.7;355.8;330.3;268.4;333.4;445.1;556.1;517.6;594.9;497.8;503.4;569.0;476.9;501.7;471.0;755.1;523.2;711.7;511.9;775.8;693.6;515.8
S2;129.1;0.0;70.6;101.7;427.6;373.4;200.5;15.2;524.8;414.1;420.4;411.3;403.3;372.6;406.4;495.3;629.1;590.6;668.0;570.9;576.5;642.0;549.9;574.7;575.2;843.3;627.4;815.9;601.6;864.0;781.8;620.0
S3;160.1;70.3;0.0;42.1;414.6;360.5;140.9;82.8;465.2;354.4;360.8;351.6;360.9;359.6;364.0;435.7;564.3;548.2;603.1;506.0;511.6;599.6;485.1;532.3;562.2;800.5;576.8;764.2;558.8;821.2;739.0;603.5
S4;156.1;102.4;42.1;0.0;393.5;339.4;104.5;114.9;441.0;373.4;379.7;330.0;304.5;338.5;307.6;419.3;530.3;491.8;569.2;472.1;477.7;543.2;451.1;475.9;541.1;744.1;520.4;707.8;502.4;764.8;682.6;547.2
S5;334.6;427.8;415.3;393.7;0.0;88.4;447.9;409.0;472.5;557.3;563.7;423.1;395.6;98.9;379.9;450.8;464.5;426.0;490.5;486.6;494.7;454.6;482.6;471.2;183.8;467.5;235.6;424.4;224.3;488.3;406.0;228.2
S6;250.9;372.6;360.1;338.6;87.9;0.0;392.8;353.8;471.9;565.8;572.1;431.6;406.1;98.3;379.3;450.2;494.5;456.0;520.5;486.0;496.8;484.6;482.0;471.4;278.3;562.0;330.1;518.9;318.8;582.8;500.5;322.8
S7;272.0;199.9;139.6;112.4;451.1;396.9;0.0;212.3;333.4;269.3;275.7;220.1;214.5;396.1;235.9;303.9;432.7;414.6;471.6;374.5;380.1;460.5;353.5;398.7;598.7;747.3;523.6;711.0;505.6;768.0;685.8;550.3
S8;110.9;16.6;83.4;114.5;409.4;355.3;213.3;0.0;521.6;426.9;433.2;410.6;385.2;354.4;388.2;499.9;610.9;572.5;649.8;552.7;558.3;623.8;531.7;556.5;557.0;825.2;609.2;797.7;583.5;845.9;763.7;601.8
M1;467.8;524.0;463.7;445.7;479.4;477.7;333.5;522.3;0.0;204.7;207.3;141.9;144.4;390.6;170.7;22.6;107.1;128.4;146.0;51.0;53.4;134.9;22.6;87.8;604.6;522.4;367.4;497.1;388.4;543.1;471.8;406.5
M2;447.5;414.0;353.8;376.9;562.5;566.9;270.6;426.5;206.0;0.0;4.0;139.0;170.3;473.7;195.6;190.5;302.4;323.4;337.7;254.6;239.5;330.2;236.0;292.0;710.0;717.4;493.7;681.1;475.7;738.1;655.9;520.5
